Date,Year,Month,Day,Block_oldname,block_newname,Male_Height_cm,Female_Height_cm
9/11/2020,2020,9,11,PP2,10-13,,96
9/11/2020,2020,9,11,PP2,10-13,,85
9/11/2020,2020,9,11,PP2,10-13,,91
9/11/2020,2020,9,11,PP2,10-13,,69
9/11/2020,2020,9,11,PP2,10-13,,85
9/11/2020,2020,9,11,PP2,10-13,,78
9/11/2020,2020,9,11,PP2,10-13,,65
9/11/2020,2020,9,11,PP2,10-13,,69
9/11/2020,2020,9,11,PP2,10-13,,70
9/11/2020,2020,9,11,PP2,10-13,,58
9/11/2020,2020,9,11,PP2,10-13,100,
9/11/2020,2020,9,11,PP2,10-13,75,
9/11/2020,2020,9,11,PP2,10-13,112,
9/11/2020,2020,9,11,PP2,10-13,71,
9/11/2020,2020,9,11,PP2,10-13,85,
9/11/2020,2020,9,11,PPP8,14-21,,69
9/11/2020,2020,9,11,PPP8,14-21,,85
9/11/2020,2020,9,11,PPP8,14-21,,78
9/11/2020,2020,9,11,PPP8,14-21,111,
9/11/2020,2020,9,11,PPP8,14-21,226,
9/11/2020,2020,9,11,PPP8,14-21,87,
9/25/2020,2020,9,25,PP2,10-13,91,97
9/25/2020,2020,9,25,PP2,10-13,80,86
9/25/2020,2020,9,25,PP2,10-13,,93
9/25/2020,2020,9,25,PP2,10-13,,70
9/25/2020,2020,9,25,PP2,10-13,,64
9/25/2020,2020,9,25,PP2,10-13,,75
9/25/2020,2020,9,25,PP2,10-13,,49
9/25/2020,2020,9,25,PP2,10-13,,71
9/25/2020,2020,9,25,PP2,10-13,,131
9/25/2020,2020,9,25,PP2,10-13,,111
10/9/2020,2020,10,9,PP2,10-13,93,100
10/9/2020,2020,10,9,PP2,10-13,82,86
10/9/2020,2020,10,9,PP2,10-13,,94
10/9/2020,2020,10,9,PP2,10-13,,72
10/9/2020,2020,10,9,PP2,10-13,,67
10/9/2020,2020,10,9,PP2,10-13,,75
10/9/2020,2020,10,9,PP2,10-13,,72
10/9/2020,2020,10,9,PP2,10-13,,133
10/9/2020,2020,10,9,PP2,10-13,,98
10/9/2020,2020,10,9,PP2,10-13,,92
10/22/2020,2020,10,22,PP2,10-13,,100
10/22/2020,2020,10,22,PP2,10-13,,74
10/22/2020,2020,10,22,PP2,10-13,,90
10/22/2020,2020,10,22,PP2,10-13,,112
10/22/2020,2020,10,22,PP2,10-13,,95
10/22/2020,2020,10,22,PP2,10-13,,80
10/22/2020,2020,10,22,PP2,10-13,,134
10/22/2020,2020,10,22,PP2,10-13,,79
10/22/2020,2020,10,22,PP2,10-13,,73
10/22/2020,2020,10,22,PP2,10-13,,96
11/3/2020,2020,11,3,PP2,10-13,,76
11/3/2020,2020,11,3,PP2,10-13,,101
11/3/2020,2020,11,3,PP2,10-13,,73
11/3/2020,2020,11,3,PP2,10-13,,99
11/3/2020,2020,11,3,PP2,10-13,,93
11/3/2020,2020,11,3,PP2,10-13,,104
11/3/2020,2020,11,3,PP2,10-13,,96
11/3/2020,2020,11,3,PP2,10-13,,74
11/3/2020,2020,11,3,PP2,10-13,,83
11/3/2020,2020,11,3,PP2,10-13,,69
11/16/2020,2020,11,16,PP2,10-13,,82
11/16/2020,2020,11,16,PP2,10-13,,104
11/16/2020,2020,11,16,PP2,10-13,,57
11/16/2020,2020,11,16,PP2,10-13,,75
11/16/2020,2020,11,16,PP2,10-13,,96
11/16/2020,2020,11,16,PP2,10-13,,97
11/16/2020,2020,11,16,PP2,10-13,,62
11/16/2020,2020,11,16,PP2,10-13,,81
11/16/2020,2020,11,16,PP2,10-13,,67
11/16/2020,2020,11,16,PP2,10-13,,92
11/23/2020,2020,11,23,PP2,10-13,,105
11/23/2020,2020,11,23,PP2,10-13,,74
11/23/2020,2020,11,23,PP2,10-13,,98
11/23/2020,2020,11,23,PP2,10-13,,96
11/23/2020,2020,11,23,PP2,10-13,,63
11/23/2020,2020,11,23,PP2,10-13,,69
11/23/2020,2020,11,23,PP2,10-13,,102
12/1/2020,2020,12,1,PP2,10-13,,106
12/1/2020,2020,12,1,PP2,10-13,,98
12/1/2020,2020,12,1,PP2,10-13,,63
12/1/2020,2020,12,1,PP2,10-13,,99
12/1/2020,2020,12,1,PP2,10-13,,105
12/7/2020,2020,12,1,PP2,10-13,,106
12/7/2020,2020,12,1,PP2,10-13,,101
12/14/2020,2020,12,14,PP2,10-13,,101
