Plot_number,Disturbance,Nutrients,Type,Block,Sub_Plot,NumOfSeed,Harvest_Date_DOH,StartDate,EndDate,Germination_DOP-1_rep1,Germination_DOP-1_rep2,Germination_DOP-1_rep3,Germination_DAP-2_rep1,Germination_DAP-2_rep2,Germination_DAP-2_rep3,Germination_DAP-3_rep1,Germination_DAP-3_rep2,Germination_DAP-3_rep3,Germination_DAP-4_rep1,Germination_DAP-4_rep2,Germination_DAP-4_rep3,Germination_DAP-5_rep1,Germination_DAP-5_rep2,Germination_DAP-5_rep3
4,D1,N0,Helena,B1,4,15,10/1/2020,12/7/2020,12/11/2020,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
23,D1,N0,Han-NE,B2,11,2,10/1/2020,12/7/2020,12/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,D1,N0,Han-NE,B3,1,39,9/25/2020,12/7/2020,12/11/2020,0,0,0,0,0,0,2,2,2,3,4,8,4,6,9
25,D1,N0,Han-NE,B3,1,57,10/1/2020,12/7/2020,12/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,D1,N1,Han-NE,B3,3,60,9/25/2020,12/7/2020,12/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,D1,N1,Han-NE,B3,3,26,10/1/2020,12/7/2020,12/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,D1,N0,Helena,B3,4,18,10/1/2020,12/7/2020,12/11/2020,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
35,D1,N1,Helena,B3,11,60,9/25/2020,12/7/2020,12/11/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
35,D1,N1,Helena,B3,11,29,10/1/2020,12/7/2020,12/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,D1,N1,Helena,B3,11,38,10/16/2020,12/7/2020,12/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,D1,N1,Helena,B3,11,60,10/22/2020,12/7/2020,12/11/2020,0,0,0,0,1,0,1,2,1,2,2,1,2,2,1
44,D1,N1,Han-NE,B4,8,21,9/25/2020,12/7/2020,12/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,D1,N0,CFX-1,B4,9,60,9/25/2020,12/7/2020,12/11/2020,0,0,0,0,0,0,0,1,0,2,3,0,2,3,1
52,D1,N1,Han-NE,B5,4,17,10/1/2020,12/7/2020,12/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,D1,N1,Han-NE,B8,3,60,9/25/2020,12/7/2020,12/11/2020,0,0,0,0,0,0,3,1,2,3,1,2,3,1,3
87,D1,N1,Han-NE,B8,3,19,10/22/2020,12/7/2020,12/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,D1,N0,Han-NE,B8,6,29,10/1/2020,12/7/2020,12/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,D1,N0,Han-NE,B8,6,60,10/22/2020,12/7/2020,12/11/2020,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1
93,D1,N0,CFX-1,B8,9,36,10/9/2020,12/7/2020,12/11/2020,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
