Plot_Num,Disturbance,Nutrients,Type,Block,Sub_Plot,Date,Day,Month,Year,PAR_Ground,PAR_1m
12,D1,N1,CFX-1,B1,12,7/27/2020,27,7,2020,832,834
40,D1,N0,Hane-NE,B4,4,7/27/2020,27,7,2020,772,745
52,D1,N1,Hane-NE,B5,4,7/27/2020,27,7,2020,785,790
80,D0,N1,Helena,B7,8,7/27/2020,27,7,2020,572,533
94,D0,N0,CFX-1,B8,10,7/27/2020,27,7,2020,499,515
12,D1,N1,CFX-1,B1,12,8/13/2020,13,8,2020,79,522
40,D1,N0,Hane-NE,B4,4,8/13/2020,13,8,2020,133,396
52,D1,N1,Hane-NE,B5,4,8/13/2020,13,8,2020,59,542
80,D0,N1,Helena,B7,8,8/13/2020,13,8,2020,60,533
94,D0,N0,CFX-1,B8,10,8/13/2020,13,8,2020,154,533
12,D1,N1,CFX-1,B1,12,8/24/2020,24,8,2020,204,477
40,D1,N0,Hane-NE,B4,4,8/24/2020,24,8,2020,120,480
52,D1,N1,Hane-NE,B5,4,8/24/2020,24,8,2020,255,484
80,D0,N1,Helena,B7,8,8/24/2020,24,8,2020,156,645
94,D0,N0,CFX-1,B8,10,8/24/2020,24,8,2020,86,537
12,D1,N1,CFX-1,B1,12,9/8/2020,8,9,2020,105,738
40,D1,N0,Hane-NE,B4,4,9/8/2020,8,9,2020,193,732
52,D1,N1,Hane-NE,B5,4,9/8/2020,8,9,2020,62,768
80,D0,N1,Helena,B7,8,9/8/2020,8,9,2020,37,760
94,D0,N0,CFX-1,B8,10,9/8/2020,8,9,2020,70,776
12,D1,N1,CFX-1,B1,12,10/1/2020,1,10,2020,142,973
40,D1,N0,Hane-NE,B4,4,10/1/2020,1,10,2020,402,983
52,D1,N1,Hane-NE,B5,4,10/1/2020,1,10,2020,60,871
80,D0,N1,Helena,B7,8,10/1/2020,1,10,2020,185,933
94,D0,N0,CFX-1,B8,10,10/1/2020,1,10,2020,82,893
12,D1,N1,CFX-1,B1,12,10/22/2020,22,10,2020,72,513
40,D1,N0,Hane-NE,B4,4,10/22/2020,22,10,2020,194,580
52,D1,N1,Hane-NE,B5,4,10/22/2020,22,10,2020,28,573
80,D0,N1,Helena,B7,8,10/22/2020,22,10,2020,143,333
94,D0,N0,CFX-1,B8,10,10/22/2020,22,10,2020,96,611
