Year,Month,Day,Block,Row,Column,Number of plants,Fresh weight (kg),Mass of leaves (g),Sample fresh weight (g),Sample dry weight (g)
2019,9,12,9,1,A,47,2.5,537,345,146
2019,9,12,9,2,D,45,3.9,948,510,190
2019,9,12,9,3,C,55,4.1,939,530,225
2019,9,12,9,4,B,47,1.9,471,305,110
2019,9,13,5,4,A,28,1.4,312,122,52
2019,9,16,6,4,A,12,3.8,1431,431,245
2019,9,13,7,4,D,31,1.5,475,162,81
2019,9,16,8,1,D,22,1.2,340,403,165
2019,9,12,9,1,B,55,2.7,662,135,
2019,9,12,9,2,B,98,2.5,456,161,
2019,9,12,9,3,D,47,1.4,280,259,
2019,9,12,9,4,C,32,2.6,809,492,
2019,9,13,7,5,A,32,2.3,542,298,
2019,9,13,5,1,D,15,6.4,2355,1054,
2019,9,13,8,2,A,17,1.5,629,299,
2019,9,13,6,2,C,36,3.8,1336,250,
2019,9,16,8,1,C,18,1.3,426,217,
2019,9,16,6,3,C,32,0.9,273,150,
2019,9,13,7,3,D,15,2.6,935,406,
2019,9,13,5,5,C,27,4.4,1525,640,
2019,9,13,7,1,A,16,0.9,195,275,
2019,9,13,5,5,A,31,1.6,250,252,
2019,9,13,8,2,B,24,0.5,188,101,
2019,9,13,6,4,D,24,1.5,370,264,
